Headline,Date,Source
TES CEO: 2024 must be a year of delivery for green goals,2024-01-15 12:37:50 PM,DAVOS WEF
"‘It was good to have businesses at the table’ at COP28, says Schneider Electric CEO",2024-01-16 07:29:42 AM,DAVOS WEF
"‘Europe does not have an incentive program’ for green hydrogen, says Clariant CEO",2024-01-17 03:07:08 PM,DAVOS WEF
"Thursday’s analyst calls: Car rental stock gets upgraded, Citi gives up on Spirit Airlines",2024-01-18 10:37:17 AM,PRO: ANALYST STOCK PICKS
"Here are Thursday’s biggest analyst calls: Tesla, Apple, Boeing, IBM, Meta, Microsoft, Rivian, Amazon & ...",2024-01-25 01:19:40 PM,PRO: ANALYST STOCK PICKS
"Thursday’s analyst calls: Bank of America downgrades Boeing on FAA production halt, Tesla downside risks",2024-01-25 10:54:17 AM,PRO: ANALYST STOCK PICKS
India's Plans to Achieve Cost Green Hydrogen Production Briefing,2024-01-26 01:30:00 PM,India Briefing
"ReNew proposes to invest Rs 26,400 crore for green hydrogen project in Kerala",2024-01-29 07:13:42 AM,ETEnergyWorld
Saudi Arabia’s ACWA Power to develop largest green hydrogen project in Indonesia worth over $1 ...,2024-01-29 08:10:42 AM,CAPITAL CONNECTION
"NTPC Green Energy inks MoU with Maharashtra Govt for green hydrogen projects Worth ₹80,000 crore",2024-01-30 01:40:07 PM,ETEnergyWorld
"NTPC arm, Maharashtra govt ink pact to develop green hydrogen projects Standard",2024-01-30 01:44:54 PM,Business Standard
"NTPC Green Energy to invest ₹80,000 cr for Maharashtra projects | Mint",2024-01-30 06:13:07 PM,Mint
Maharashtra govt signs MOUs with 7 companies for green hydrogen production Standard,2024-01-30 07:33:38 AM,Business Standard
Omega Seiki Mobility’s group co to launch hydrogen powered 3 Economic Times,2024-01-30 08:01:23 PM,The Economic Times
State signs MoUs for green hydrogen projects and steel plant Times,2024-01-30 08:08:04 AM,Hindustan Times
NTPC arm signs MoU for INR 80000 crore green hydrogen to ammonia project magazine India,2024-01-30 09:33:47 PM,pv magazine India
THDCIL Inaugurates India’s Largest Green Hydrogen Pilot Project on 75th Republic Day,2024-01-30 10:35:01 AM,Adda247
The Hydrogen Stream: India's Maharashtra signs MoUs for green hydrogen projects worth over $33.2 billion magazine India,2024-01-30 11:26:22 AM,pv magazine India
"Here are Wednesday’s biggest analyst calls: Apple, Tesla, Alphabet, Microsoft, AMD, Meta, Spotify and more",2024-01-31 01:20:15 PM,PRO: ANALYST STOCK PICKS
NGEL Inks MoU with Maharashtra for Green Hydrogen Projects,2024-01-31 04:33:46 PM,SMEStreet
"Stocks making the biggest moves midday: Alphabet, Boeing, AMD, Microsoft, Paramount and more",2024-01-31 05:18:23 PM,MARKET INSIDER
Hygenco to invest $2.5 bn over 3 years to set up Green Hydrogen projects in India,2024-01-31 05:52:06 PM,ETEnergyWorld
NTPC Green Energy Limited Enters Agreement with Maharashtra Government for Green Hydrogen Development,2024-01-31 09:23:17 AM,SolarQuarter
"Wednesday’s analyst calls: Microsoft and Alphabet get price target increases after earnings, SoFi downgraded",2024-01-31 10:41:00 AM,PRO: ANALYST STOCK PICKS
Budget 2024 | Expectations for green growth and technology,2024-01-31 11:55:28 AM,CNBCTV18
Green Hydrogen Market 2023 to 2032,2024-01-31 12:06:32 PM,TimesTech
"Rooftop solar, green hydrogen, offshore wind, green energy corridor may find mention in FM's Budget speech",2024-02-01 01:01:44 AM,Moneycontrol
Linde Commences Delivery of Green Hydrogen and Captured Carbon Dioxide to Celanese,2024-02-01 05:13:24 PM,ChemAnalyst
Electrolyzer Technologies That Can Drive Green Hydrogen Success Times Europe,2024-02-01 06:38:18 PM,EE Times Europe
"Rs 11,500 crore outlay: Budget 2024 adds spark to wind & solar energy, green hydrogen projects Today",2024-02-01 06:47:21 PM,Business Today
Gujarat ready to emerge as global leader in green hydrogen production Guv Devvrat in Assembly Week,2024-02-01 07:04:09 PM,The Week
Green Hydrogen Mission gets whopping 102% hike in allocation in Interim Budget Economic Times,2024-02-01 09:08:12 PM,The Economic Times
Lhyfe to build green hydrogen plant in northern Germany,2024-02-01 09:40:31 PM,ChemEngOnline
THDC inagurates green hydrogen pilot project featuring electrolyser and fuel cell technology in Uttarakhand ... Line Magazine,2024-02-01 12:19:02 PM,Power Line Magazine
Lhyfe Starts Building a New Green Hydrogen Production Plant in Germany e,2024-02-02 01:30:00 PM,DirectIndustry e-Magazine
"Reliance Industries to convert its 5,000 ICE trucks to green hydrogen H2ICE trucks by mid Professional",2024-02-02 01:30:00 PM,Autocar Professional
Chart: Which countries are leading the green hydrogen race? Media,2024-02-02 02:00:00 PM,Canary Media
Semarak RE And PowerChina Join Forces For Malaysia's First Large Green Hydrogen Project,2024-02-02 02:00:38 PM,SolarQuarter
Jordan's Energy Minister Inks MoU For Green Hydrogen Project Feasibility Studies,2024-02-02 02:21:34 PM,SolarQuarter
Lhyfe Commences Construction on 10 Green Hydrogen Facility in Germany,2024-02-02 03:28:11 PM,ChemAnalyst
India Launches Pilot Projects for Green Hydrogen in Maritime Sector under National Mission,2024-02-02 03:30:49 PM,SolarQuarter
"Maharashtra signs MoUs worth over Rs 2,763 billion for green hydrogen projects Line Magazine Line Magazine",2024-02-02 04:15:01 PM,Power Line Magazine
"THDC Unveils Trailblazing Green Hydrogen Pilot Project in Uttarakhand, Pioneering Sustainable Energy Solutions",2024-02-02 04:36:23 PM,SolarQuarter
Egypt launches 55% tax credit to boost green hydrogen production News,2024-02-02 04:37:29 PM,ETN News
"Maharashtra Spearheads Green Energy Revolution with ₹2,76300 Crore Investment and 63900 Jobs in Green ...",2024-02-02 06:19:24 PM,SolarQuarter
"Budget 2024: Rooftop solar, green hydrogen push — experts discuss initiatives to charge up renewable energy sector | Mint",2024-02-02 06:20:00 PM,Mint
Chinese electrolyser companies secure export orders for green hydrogen projects in Middle East and Asia Insight,2024-02-02 06:21:00 PM,Hydrogen Insight
Budget 2024: Green hydrogen’s allocation rises by whopping 102 per cent,2024-02-02 07:00:00 AM,ETEnergyWorld
"Budget boost for clean energy: Solar allocation soars to ₹8,500 cr; green hydrogen funding doubles",2024-02-02 08:18:43 AM,ETEnergyWorld
Lhyfe begins construction of 10 MW green hydrogen plant in Lower Saxony News,2024-02-02 08:27:05 AM,ETN News
‘Gujarat can lead world in green hydrogen’ of India,2024-02-02 08:31:00 AM,Times of India
Centre offers Rs 115 crore support for retrofitting ships to run on Green Hydrogen Economic Times,2024-02-02 08:37:18 PM,The Economic Times
Govt launches pilot project on use of green hydrogen in shipping,2024-02-02 09:04:56 PM,Moneycontrol
Govt to provide 50% financial aid to pilot projects using Green Hydrogen in steel sector Watch,2024-02-02 09:40:57 PM,PSU Watch
Steel and Port Ministries issue guidelines to incentivise hydrogen usage,2024-02-02 10:20:05 PM,BusinessLine
MNRE releases guidelines on use of green hydrogen in shipping sector Standard,2024-02-02 10:21:47 PM,Business Standard
Govt issues guidelines for pilot projects on utilizing green hydrogen in shipping sector News,2024-02-02 10:37:00 PM,ANI News
Govt unveils guidelines for supporting pilot projects using Green Hydrogen in shipping sector Watch,2024-02-02 10:40:12 PM,PSU Watch
Govt allocates Rs 115 crore for green hydrogen pilot in shipping sector: MNRE,2024-02-02 11:05:36 PM,ETEnergyWorld
MNRE issues guidelines for pilot projects implementing Green Hydrogen in steel sector,2024-02-02 11:21:25 PM,CNBCTV18
"ONEE, Nareva, & GE Vernova Partner for Africa's 1st Green Hydrogen Transition in Laâyoune",2024-02-02 12:58:32 PM,ChemAnalyst
Government of India Unveils Guidelines for Green Hydrogen Pilot Projects in Steel Sector Pacific India ,2024-02-03 01:17:00 PM,Energetica India 
India Launches Green Hydrogen Pilot Projects in Shipping Sector Pacific India ,2024-02-03 02:02:09 PM,Energetica India 
Disinvestment SCI to spearhead govt’s Green Hydrogen scheme in shipping Watch,2024-02-03 03:12:33 PM,PSU Watch
Support for Ports and Portability to Green Hydrogen,2024-02-03 09:08:07 AM,ETAuto
"SAF, Green Hydrogen, CCUS likely to be in spotlight at IEW 2024: EIL CMD Watch",2024-02-03 10:24:39 PM,PSU Watch
Government Issues Pilot Project Guidelines For Utilizing Green Hydrogen In Steel Sector Khabar India,2024-02-03 10:37:46 PM,Khabar India
"Jakson Green, NTPC Commence Work on World's Largest Green Hydrogen Fueling Station Pacific India ",2024-02-03 12:01:46 PM,Energetica India 
Government issues Guidelines for Pilot Projects for utilizing Green Hydrogen in Shipping Sector Tribune,2024-02-03 12:03:12 PM,Nagaland Tribune
"Lhyfe to Start Construction of 10 MW Green Hydrogen Plant in Brake, Germany India ",2024-02-03 12:21:49 PM,Energetica India 
Govt shares guidelines for Green Hydrogen Pilot Projects in steel sector,2024-02-04 03:43:01 PM,Moneycontrol
"Green hydrogen: Proposals for projects worth ₹2.70 trillion received, says energy minister Times",2024-02-04 08:02:04 AM,Hindustan Times
Electrolysis Reimagined: Turning Renewable Energy Into Green Hydrogen,2024-02-04 11:59:08 PM,SciTechDaily
Kraft Heinz Partners With Carlton Power to Deliver Company's First Renewable Green Hydrogen Project in the UK Finance,2024-02-05 01:30:00 PM,Yahoo Finance
Kraft Heinz Partners With Carlton Power to Deliver Company's First Renewable Green Hydrogen Project in the UK Wire,2024-02-05 01:30:00 PM,Business Wire
NGEL Partners with Maharashtra Government for Green Hydrogen Project Development,2024-02-05 01:39:57 PM,SolarQuarter
Green hydrogen in shipping | India outlines funding to retrofit existing vessels and install ammonia fuelling at ports Insight,2024-02-05 02:07:00 PM,Hydrogen Insight
Green Hydrogen – Shipping and Steel Sectors IAS,2024-02-05 02:17:52 PM,Insights IAS
Namibia's Progressive Leap Towards a Green Hydrogen Economy Capital & Power,2024-02-05 02:30:57 PM,Energy Capital & Power
Kraft Heinz and Carlton Power partner for Wigan green hydrogen plant proposal Insight Magazine,2024-02-05 03:19:43 PM,Bioenergy Insight Magazine
MNRE Launches Pilot Projects to Implement Green Hydrogen in Steel Industry India,2024-02-05 03:30:10 PM,Mercom India
"Carlton & Kraft Heinz opt for green hydrogen at Wigan mega | theenergyst.com green hydrogen, manufacture ... Energyst",2024-02-05 03:38:03 PM,The Energyst
Large cap stock jumps 5% after receiving LoA worth ₹ 67.6 Cr for setting up of green hydrogen facility Brains,2024-02-05 03:59:00 PM,Trade Brains
RIL to convert its 5000 diesel trucks to green hydrogen trucks The first online Indian business magazine,2024-02-05 04:01:59 PM,domain-b.com: The first online Indian business magazine
Govt greenlights pilot projects for Green Hydrogen in shipping sector World,2024-02-05 04:14:04 PM,Construction World
Kraft Heinz and Carlton Power partner on £40m green hydrogen plant,2024-02-05 04:22:47 PM,FoodBev.com
Kraft Heinz partners with Carlton Power to deliver new green hydrogen project in the UK Energy Magazine,2024-02-05 04:27:46 PM,Renewable Energy Magazine
Abu Dhabi Department Of Economic Development And HYCAP Group Partner To Drive Green Hydrogen Innovation,2024-02-05 04:55:48 PM,SolarQuarter
Lhyfe and SAF+ Unite in Venture to Spearhead Hydrogen Fuel Advancements,2024-02-05 05:07:56 PM,ChemAnalyst
India plans green hydrogen pilot projects in shipping and steel View,2024-02-05 05:23:26 PM,H2 View
How is the Adoption of Fuel Cell Technology Shaping the Future of Green Hydrogen in India's Renewable Energy Sector,2024-02-05 06:01:58 PM,CXOToday.com
Kraft Heinz to build its first green hydrogen plant to power UK ops Now,2024-02-05 06:02:00 PM,Renewables Now
The Growing Green Hydrogen Market: A Sustainable Energy Revolution Trade Magazine,2024-02-05 06:15:36 PM,Global Trade Magazine
India rolls out program to support green hydrogen ship retrofits Energy,2024-02-05 07:29:55 PM,Offshore Energy
"MC Explainer: New guidelines, challenges for using green hydrogen in steel industry",2024-02-05 07:34:49 PM,Moneycontrol
MNRE releases guidelines for pilot projects on use of green hydrogen in shipping sector Trust of India,2024-02-05 07:39:42 PM,Press Trust of India
"Mangaluru: Green hydrogen, coal bleaching are best choice for clean energy K J George",2024-02-05 07:44:14 PM,Daijiworld.com
Abu Dhabi government and HYCAP to build green hydrogen complex Monitor,2024-02-05 08:01:37 PM,Investment Monitor
SunHydrogen initiates scale of green hydrogen panels in partnership with COTEC View,2024-02-05 08:19:12 PM,H2 View
Green hydrogen for sustainable industrial development: A policy toolkit for developing countries News,2024-02-05 10:54:00 PM,EIN News
The Hydrogen Stream: Reliance Industries to convert existing 5000 ICE trucks to run on green hydrogen by mid magazine India,2024-02-05 11:22:59 AM,pv magazine India
NTPC plans renewables hydrogen project in Maharashtra Now,2024-02-05 11:33:00 AM,Renewables Now
"Energy pickups: energy renewable highlights | by Miguel Pacheco | Feb, 2024",2024-02-05 11:41:59 PM,Medium
SunHydrogen and COTEC of South Korea Advance to Next Phase of Production for 1m² Green Hydrogen Panels Central,2024-02-05 11:53:35 PM,Hydrogen Central
Tecnimont (MAIRE) awarded a Front Design for an integrated green hydrogen and ammonia plant in ... Central,2024-02-05 11:53:35 PM,Hydrogen Central
IIPE in Visakhapatnam launches a pilot project to produce green hydrogen using NTPC’s desalinated water Hindu,2024-02-05 12:45:00 AM,The Hindu
Zaha Hadid Architects and NatPower H to Create First Green Hydrogen Network for Boats Central,2024-02-06 01:53:37 AM,Hydrogen Central
